"","mesoregion","Year","agec","j12_j18","ach.noj","e40_46","r95_99","a00_b99","all.deaths","PCV2 coverage","PCV3 coverage","log.gdp"
"270","Arauca_med",2012,2,1,4,0,1,0,7,95.6353938759487,95.6514240849441,9295.65067563928
"271","Arauca_med",2012,3,0,1,1,0,0,3,95.6353938759487,95.6514240849441,9295.65067563928
"272","Arauca_med",2012,1,0,6,0,0,0,6,95.6353938759487,95.6514240849441,9295.65067563928
"273","Arauca_med",2013,3,0,0,0,0,0,0,97.2137557247511,96.3302164728755,9295.65067563928
"274","Arauca_med",2013,1,1,5,0,0,0,6,97.2137557247511,96.3302164728755,9295.65067563928
"275","Arauca_med",2013,2,1,1,0,0,0,3,97.2137557247511,96.3302164728755,9295.65067563928
"276","Arauca_med",2013,4,1,2,0,0,0,3,97.2137557247511,96.3302164728755,9295.65067563928
"277","Arauca_med",2014,4,0,1,0,0,0,1,95.865130145075,97.0728276068344,9295.65067563928
"278","Arauca_med",2014,3,0,3,1,0,1,3,95.865130145075,97.0728276068344,9295.65067563928
"279","Arauca_med",2014,1,0,3,0,0,0,4,95.865130145075,97.0728276068344,9295.65067563928
"280","Arauca_med",2014,2,1,2,2,0,0,4,95.865130145075,97.0728276068344,9295.65067563928
"281","Arauca_med",2015,4,0,4,0,0,1,5,100.896375668299,97.1782308296257,9295.65067563928
"282","Arauca_med",2015,1,0,10,0,0,1,10,100.896375668299,97.1782308296257,9295.65067563928
"283","Arauca_med",2015,2,0,2,1,1,0,6,100.896375668299,97.1782308296257,9295.65067563928
"284","Arauca_med",2015,3,0,1,0,0,1,2,100.896375668299,97.1782308296257,9295.65067563928
"289","Atlántico_high",2005,2,23,121,30,0,34,197,0,0,14296.6976397774
"290","Atlántico_high",2005,1,6,441,4,0,14,469,0,0,14296.6976397774
"291","Atlántico_high",2005,3,5,29,13,0,6,60,0,0,14296.6976397774
"292","Atlántico_high",2005,4,2,35,3,0,8,56,0,0,14296.6976397774
"293","Atlántico_high",2006,4,9,43,7,0,5,65,0,0,14296.6976397774
"294","Atlántico_high",2006,3,5,39,11,0,9,56,0,0,14296.6976397774
"295","Atlántico_high",2006,2,21,126,43,0,35,219,0,0,14296.6976397774
"296","Atlántico_high",2006,1,10,473,2,0,11,500,0,0,14296.6976397774
"297","Atlántico_high",2007,4,2,25,3,0,5,42,0,0,14296.6976397774
"298","Atlántico_high",2007,3,7,24,8,0,2,44,0,0,14296.6976397774
"299","Atlántico_high",2007,2,27,138,24,1,44,223,0,0,14296.6976397774
