"dept.inc","Year","agec","J12_J18_prim","acm_noj_prim","E40_E46_prim","R95_R99_prim","J12_J18_any","R00_R09_prim","G90_G99_prim","N00_N99_prim","P00_P96_prim","A00_B99_prim","Q00_Q99_prim","all.deaths"
"16.low",2007,0,2,21,0,0,4,0,0,0,14,2,2,25
"16.med",2007,0,5,53,2,0,8,0,0,2,22,9,5,61
"17.high",2007,0,3,44,1,0,3,0,0,0,25,4,0,47
"18.high",2007,0,3,26,0,0,3,0,0,0,11,0,8,30
"18.med",2007,0,1,3,0,0,1,0,0,0,1,0,2,4
"19.high",2007,0,0,1,0,0,0,0,0,0,1,0,0,1
"19.low",2007,0,1,13,0,1,1,0,1,0,7,0,2,17
"19.med",2007,0,3,38,0,0,3,0,0,0,27,1,1,42
"20.high",2007,0,7,114,0,1,11,0,1,1,79,3,13,126
"20.low",2007,0,3,23,0,0,3,0,0,0,15,1,0,27
"20.med",2007,0,10,117,0,1,14,0,1,1,84,1,11,139
"21.low",2007,0,11,197,1,1,15,0,2,1,80,12,12,229
"21.med",2007,0,28,259,0,3,34,0,3,1,135,18,19,310
"22.high",2007,0,5,26,0,0,6,0,0,0,21,1,1,32
"22.low",2007,0,1,3,0,0,1,0,0,0,2,1,0,5
"22.med",2007,0,3,16,0,0,3,0,0,0,8,1,2,19
"23.high",2007,0,2,45,0,0,2,0,3,1,23,0,9,52
"23.low",2007,0,0,2,0,0,0,0,0,0,1,0,0,2
"23.med",2007,0,0,3,0,0,0,0,0,0,1,0,0,3
"24.high",2007,0,4,25,0,0,5,0,0,0,19,3,2,30
"25.high",2007,0,20,227,0,0,25,0,0,0,162,15,31,262
"25.med",2007,0,2,30,0,0,2,0,0,0,18,2,3,32
"01.high",2008,0,0,12,0,0,0,0,0,0,8,1,0,12
"01.low",2008,0,0,5,0,0,0,0,0,0,2,0,0,5
"01.med",2008,0,1,14,0,0,1,2,0,0,8,0,1,15
"02.high",2008,0,5,88,1,1,7,2,1,0,47,5,13,96
"02.low",2008,0,1,10,0,1,1,0,0,0,4,0,1,11
"02.med",2008,0,6,38,1,1,7,0,0,0,21,0,5,46
"03.low",2008,0,6,49,0,0,6,0,0,0,23,2,10,61
"03.med",2008,0,0,30,0,0,0,2,0,0,19,1,2,30
"04.high",2008,0,12,207,1,0,13,3,1,0,125,3,41,221
"04.low",2008,0,0,7,0,0,0,0,0,0,5,0,1,7
"04.med",2008,0,1,13,0,0,1,0,0,0,11,0,0,15
"05.low",2008,0,10,39,0,0,10,1,0,0,16,2,6,50
"05.med",2008,0,7,76,0,0,10,2,2,1,50,0,11,87
"06.low",2008,0,14,57,0,2,17,1,2,0,21,3,4,81
"06.med",2008,0,21,81,0,2,27,4,0,0,39,6,7,112
"07.high",2008,0,9,88,1,0,12,2,1,0,55,0,25,102
"08.high",2008,0,1,45,0,0,2,3,1,0,27,1,1,48
"08.low",2008,0,4,106,1,0,4,4,0,0,38,2,7,113
"08.med",2008,0,9,133,0,0,12,5,1,0,63,5,6,147
"09.high",2008,0,0,1,0,0,0,0,0,0,0,0,0,1
"09.low",2008,0,14,75,0,0,20,0,0,0,40,1,6,100
"09.med",2008,0,3,32,0,0,5,1,0,0,22,1,2,37
"10.high",2008,0,0,24,0,0,0,0,0,0,18,0,5,25
"10.low",2008,0,13,121,2,1,13,2,0,0,63,4,11,142
"10.med",2008,0,4,36,1,0,6,0,0,0,19,1,5,43
"11.high",2008,0,11,151,0,0,15,1,0,1,114,2,16,170
"11.med",2008,0,0,1,0,0,0,0,0,0,0,0,1,1
"12.high",2008,0,13,136,2,0,15,3,1,0,85,6,11,159
"12.low",2008,0,2,19,0,0,2,0,0,0,6,1,0,22
"12.med",2008,0,11,106,0,2,14,2,1,0,44,5,10,130
"13.high",2008,0,4,72,0,0,4,0,0,0,48,5,14,76
"13.low",2008,0,7,33,2,0,7,1,1,0,9,2,0,45
"13.med",2008,0,3,55,1,0,3,2,1,0,31,2,9,60
"14.high",2008,0,6,121,0,0,12,1,0,0,92,2,16,134
"14.low",2008,0,2,5,0,0,3,0,0,0,3,0,1,8
"14.med",2008,0,9,95,1,0,10,1,0,0,65,8,6,108
"15.high",2008,0,56,669,2,3,72,35,3,1,335,77,123,754
"15.low",2008,0,0,1,0,0,0,0,0,0,0,0,0,1
"15.med",2008,0,7,42,1,0,7,2,0,0,17,2,8,50
"16.high",2008,0,1,9,0,0,2,0,0,0,6,1,1,11
"16.low",2008,0,2,20,0,0,4,0,0,0,9,5,0,24
"16.med",2008,0,16,56,1,0,18,2,0,0,41,1,1,76
"17.high",2008,0,0,38,1,0,0,1,0,0,27,2,2,38
"18.high",2008,0,4,20,0,0,4,0,0,0,9,0,3,25
"18.med",2008,0,0,2,0,0,1,0,0,0,1,0,0,3
"19.low",2008,0,3,9,1,0,3,0,0,0,1,0,1,13
"19.med",2008,0,5,29,0,1,5,0,0,0,21,1,3,35
"20.high",2008,0,5,96,0,0,12,2,0,0,76,1,8,109
"20.low",2008,0,0,26,0,1,2,1,0,0,11,1,1,29
"20.med",2008,0,18,138,1,2,24,0,2,1,99,6,9,166
"21.low",2008,0,16,162,1,4,18,6,2,0,75,8,6,183
"21.med",2008,0,16,215,3,2,22,6,0,0,112,12,9,249
"22.high",2008,0,1,52,0,0,2,0,0,0,42,0,2,55
"22.low",2008,0,0,7,0,0,0,0,0,0,4,0,1,7
"22.med",2008,0,10,40,0,0,11,2,0,0,19,2,4,56
"23.high",2008,0,5,44,1,0,5,0,0,0,30,1,3,51
"23.med",2008,0,0,1,0,0,0,0,0,0,0,0,0,1
"24.high",2008,0,4,37,0,0,4,1,0,0,32,1,1,41
"24.med",2008,0,0,1,0,0,0,0,0,0,0,1,0,1
"25.high",2008,0,12,156,1,0,14,2,2,1,113,8,13,172
"25.med",2008,0,4,7,0,0,4,0,0,0,4,0,1,11
"01.high",2009,0,1,8,0,0,2,0,0,0,6,1,0,10
"01.low",2009,0,1,3,0,0,2,0,0,0,2,0,0,5
"01.med",2009,0,1,8,0,0,1,0,0,0,3,0,3,9
